File name, linenumber, Report info
BenchmarkTest00218,54,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00240,51,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest00241,51,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest00242,51,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00243,51,Statement.addBatch Scary7 Normal confidence
BenchmarkTest00244,51,Statement.executeQuery Scary7 Normal confidence
BenchmarkTest00266,54,Statement.addBatch Scary5 High confidence
BenchmarkTest00267,54,Statement.execute Scary5 High confidence
BenchmarkTest00291,50,Connection.prepareCall Scary5 High confidence
BenchmarkTest00292,50,Statement.execute Scary5 High confidence
BenchmarkTest00293,50,Statement.execute Scary5 High confidence
BenchmarkTest00321,51,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00322,51,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00323,51,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00324,51,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00325,51,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00326,51,Statement.execute Scary7 Normal confidence
BenchmarkTest00839,78,Connection.prepareCall Scary5 High confidence
BenchmarkTest00840,71,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest00841,71,Connection.prepareCall Scary5 High confidence
BenchmarkTest00842,76,Connection.prepareCall Scary5 High confidence
BenchmarkTest00843,76,Connection.prepareCall Scary5 High confidence
BenchmarkTest00844,73,Connection.prepareCall Scary5 High confidence
BenchmarkTest00845,76,Connection.prepareCall Scary5 High confidence
BenchmarkTest00846,75,Connection.prepareCall Scary5 High confidence
BenchmarkTest00847,71,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest00848,84,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest00849,76,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00850,76,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00851,89,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00852,78,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00853,71,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00854,84,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00855,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00856,89,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00857,75,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00858,83,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00859,78,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00860,70,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00861,74,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00862,70,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00863,78,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00864,78,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00865,76,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00866,76,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00867,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00868,78,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00869,70,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00870,83,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00871,76,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00872,71,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00873,70,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00874,70,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00875,70,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00876,83,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00877,71,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest00878,78,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00879,76,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00880,70,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00881,76,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00882,76,Statement.addBatch Scary5 High confidence
BenchmarkTest00883,71,Statement.addBatch Scary7 Normal confidence
BenchmarkTest00884,84,Statement.addBatch Scary7 Normal confidence
BenchmarkTest00885,76,Statement.addBatch Scary5 High confidence
BenchmarkTest00886,70,Statement.addBatch Scary5 High confidence
BenchmarkTest00887,70,Statement.addBatch Scary5 High confidence
BenchmarkTest00888,74,Statement.addBatch Scary5 High confidence
BenchmarkTest00889,89,Statement.addBatch Scary5 High confidence
BenchmarkTest00890,78,Statement.execute Scary5 High confidence
BenchmarkTest00891,70,Statement.execute Scary5 High confidence
BenchmarkTest00892,78,Statement.execute Scary5 High confidence
BenchmarkTest00893,76,Statement.execute Scary5 High confidence
BenchmarkTest00894,71,Statement.execute Scary5 High confidence
BenchmarkTest00895,73,Statement.execute Scary5 High confidence
BenchmarkTest00896,70,Statement.execute Scary5 High confidence
BenchmarkTest00897,89,Statement.execute Scary5 High confidence
BenchmarkTest00898,74,Statement.execute Scary5 High confidence
BenchmarkTest00899,73,Statement.execute Scary5 High confidence
BenchmarkTest00900,89,Statement.execute Scary5 High confidence
BenchmarkTest00901,78,Statement.execute Scary5 High confidence
BenchmarkTest00902,70,Statement.execute Scary5 High confidence
BenchmarkTest00903,78,Statement.execute Scary5 High confidence
BenchmarkTest00904,71,Statement.execute Scary7 Normal confidence
BenchmarkTest00905,73,Statement.execute Scary5 High confidence
BenchmarkTest00906,89,Statement.execute Scary5 High confidence
BenchmarkTest00907,78,Statement.executeQuery Scary5 High confidence
BenchmarkTest00908,71,Statement.executeQuery Scary7 Normal confidence
BenchmarkTest00909,71,Statement.executeQuery Scary7 Normal confidence
BenchmarkTest00910,84,Statement.executeQuery Scary7 Normal confidence
BenchmarkTest00911,76,Statement.executeQuery Scary5 High confidence
BenchmarkTest00912,75,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00913,71,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest00914,78,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00915,84,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest00916,89,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00917,89,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00918,76,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00919,78,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00920,71,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest00921,76,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00922,76,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00923,70,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00924,70,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00925,89,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00926,70,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00927,70,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00928,71,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00929,70,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00930,73,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00931,70,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00932,83,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest00933,76,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00934,84,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest00935,89,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00936,74,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01467,60,Connection.prepareCall Scary5 High confidence
BenchmarkTest01468,52,Connection.prepareCall Scary5 High confidence
BenchmarkTest01469,65,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest01470,58,Connection.prepareCall Scary5 High confidence
BenchmarkTest01471,66,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest01472,71,Connection.prepareCall Scary5 High confidence
BenchmarkTest01473,58,Connection.prepareCall Scary5 High confidence
BenchmarkTest01474,53,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest01475,58,Connection.prepareCall Scary5 High confidence
BenchmarkTest01476,66,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest01477,58,Connection.prepareCall Scary5 High confidence
BenchmarkTest01478,52,Connection.prepareCall Scary5 High confidence
BenchmarkTest01479,52,Connection.prepareCall Scary5 High confidence
BenchmarkTest01480,53,Connection.prepareCall Scary5 High confidence
BenchmarkTest01481,53,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest01482,53,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest01483,58,Connection.prepareCall Scary5 High confidence
BenchmarkTest01484,66,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest01485,52,Connection.prepareCall Scary5 High confidence
BenchmarkTest01486,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01487,53,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest01488,58,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01489,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01490,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01491,55,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01492,58,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01493,60,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01494,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01495,53,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01496,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01497,60,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01498,65,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest01499,58,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01500,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01501,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01502,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01503,60,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01504,66,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest01505,58,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01506,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01507,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01508,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01509,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01510,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01511,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01512,57,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01513,58,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01514,58,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01515,58,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01516,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01517,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01518,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01519,60,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01520,58,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01521,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01522,52,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01523,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01524,71,Connection.prepareStatement Scary5 High confidence
BenchmarkTest01525,53,Statement.addBatch Scary7 Normal confidence
BenchmarkTest01526,52,Statement.addBatch Scary5 High confidence
BenchmarkTest01527,60,Statement.addBatch Scary5 High confidence
BenchmarkTest01528,58,Statement.addBatch Scary5 High confidence
BenchmarkTest01529,58,Statement.addBatch Scary5 High confidence
BenchmarkTest01530,52,Statement.addBatch Scary5 High confidence
BenchmarkTest01531,53,Statement.execute Scary7 Normal confidence
BenchmarkTest01532,65,Statement.execute Scary7 Normal confidence
BenchmarkTest01533,58,Statement.execute Scary5 High confidence
BenchmarkTest01534,58,Statement.execute Scary5 High confidence
BenchmarkTest01535,71,Statement.execute Scary5 High confidence
BenchmarkTest01536,56,Statement.execute Scary5 High confidence
BenchmarkTest01537,52,Statement.execute Scary5 High confidence
BenchmarkTest01538,60,Statement.execute Scary5 High confidence
BenchmarkTest01539,58,Statement.execute Scary5 High confidence
BenchmarkTest01540,66,Statement.execute Scary7 Normal confidence
BenchmarkTest01541,58,Statement.execute Scary5 High confidence
BenchmarkTest01542,52,Statement.execute Scary5 High confidence
BenchmarkTest01543,52,Statement.execute Scary5 High confidence
BenchmarkTest01544,55,Statement.execute Scary5 High confidence
BenchmarkTest01545,58,Statement.execute Scary5 High confidence
BenchmarkTest01546,60,Statement.execute Scary5 High confidence
BenchmarkTest01547,53,Statement.execute Scary7 Normal confidence
BenchmarkTest01548,52,Statement.execute Scary5 High confidence
BenchmarkTest01549,57,Statement.execute Scary5 High confidence
BenchmarkTest01550,53,Statement.execute Scary7 Normal confidence
BenchmarkTest01551,60,Statement.execute Scary5 High confidence
BenchmarkTest01552,58,Statement.execute Scary5 High confidence
BenchmarkTest01553,52,Statement.execute Scary5 High confidence
BenchmarkTest01554,52,Statement.execute Scary5 High confidence
BenchmarkTest01555,60,Statement.executeQuery Scary5 High confidence
BenchmarkTest01556,52,Statement.executeQuery Scary5 High confidence
BenchmarkTest01557,52,Statement.executeQuery Scary5 High confidence
BenchmarkTest01558,60,Statement.executeQuery Scary5 High confidence
BenchmarkTest01559,66,Statement.executeQuery Scary7 Normal confidence
BenchmarkTest01560,53,Statement.executeQuery Scary5 High confidence
BenchmarkTest01561,52,Statement.executeQuery Scary5 High confidence
BenchmarkTest01562,58,Statement.executeQuery Scary5 High confidence
BenchmarkTest01563,60,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01564,53,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest01565,58,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01566,53,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest01567,55,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01568,58,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01569,58,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01570,60,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01571,58,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01572,58,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01573,52,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01574,52,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01575,56,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01576,58,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01577,66,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest01578,52,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01579,53,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01580,56,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01581,52,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01582,60,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01583,65,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest01584,58,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01585,58,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01586,53,Statement.executeUpdate Scary5 High confidence
BenchmarkTest01587,52,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02118,69,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02119,62,Connection.prepareCall Scary5 High confidence
BenchmarkTest02120,57,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02121,70,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02122,57,Connection.prepareCall Scary5 High confidence
BenchmarkTest02123,56,Connection.prepareCall Scary5 High confidence
BenchmarkTest02124,57,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02125,56,Connection.prepareCall Scary5 High confidence
BenchmarkTest02126,69,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02127,70,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02128,57,Connection.prepareCall Scary5 High confidence
BenchmarkTest02129,62,Connection.prepareCall Scary5 High confidence
BenchmarkTest02130,61,Connection.prepareCall Scary5 High confidence
BenchmarkTest02131,69,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02132,62,Connection.prepareCall Scary5 High confidence
BenchmarkTest02133,57,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02134,75,Connection.prepareCall Scary5 High confidence
BenchmarkTest02135,62,Connection.prepareCall Scary5 High confidence
BenchmarkTest02136,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02137,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02138,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02139,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02140,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02141,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02142,57,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02143,64,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02144,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02145,75,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02146,57,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02147,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02148,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02149,69,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02150,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02151,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02152,70,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02153,75,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02154,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02155,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02156,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02157,61,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02158,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02159,64,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02160,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02161,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02162,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02163,60,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02164,62,Statement.addBatch Scary5 High confidence
BenchmarkTest02165,75,Statement.addBatch Scary5 High confidence
BenchmarkTest02166,57,Statement.addBatch Scary5 High confidence
BenchmarkTest02167,59,Statement.addBatch Scary5 High confidence
BenchmarkTest02168,62,Statement.addBatch Scary5 High confidence
BenchmarkTest02169,64,Statement.execute Scary5 High confidence
BenchmarkTest02170,56,Statement.execute Scary5 High confidence
BenchmarkTest02171,61,Statement.execute Scary5 High confidence
BenchmarkTest02172,62,Statement.execute Scary5 High confidence
BenchmarkTest02173,56,Statement.execute Scary5 High confidence
BenchmarkTest02174,75,Statement.execute Scary5 High confidence
BenchmarkTest02175,57,Statement.execute Scary7 Normal confidence
BenchmarkTest02176,56,Statement.execute Scary5 High confidence
BenchmarkTest02177,57,Statement.execute Scary5 High confidence
BenchmarkTest02178,60,Statement.execute Scary5 High confidence
BenchmarkTest02179,75,Statement.execute Scary5 High confidence
BenchmarkTest02180,57,Statement.execute Scary7 Normal confidence
BenchmarkTest02181,62,Statement.execute Scary5 High confidence
BenchmarkTest02182,64,Statement.execute Scary5 High confidence
BenchmarkTest02183,56,Statement.execute Scary5 High confidence
BenchmarkTest02184,57,Statement.execute Scary7 Normal confidence
BenchmarkTest02185,57,Statement.execute Scary7 Normal confidence
BenchmarkTest02186,64,Statement.execute Scary5 High confidence
BenchmarkTest02187,62,Statement.execute Scary5 High confidence
BenchmarkTest02188,56,Statement.execute Scary5 High confidence
BenchmarkTest02189,56,Statement.execute Scary5 High confidence
BenchmarkTest02190,57,Statement.execute Scary5 High confidence
BenchmarkTest02191,59,Statement.execute Scary5 High confidence
BenchmarkTest02192,61,Statement.executeQuery Scary5 High confidence
BenchmarkTest02193,62,Statement.executeQuery Scary5 High confidence
BenchmarkTest02194,64,Statement.executeQuery Scary5 High confidence
BenchmarkTest02195,62,Statement.executeQuery Scary5 High confidence
BenchmarkTest02196,56,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02197,60,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02198,59,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02199,75,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02200,62,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02201,64,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02202,56,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02203,69,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest02204,70,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest02205,62,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02206,59,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02207,75,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02208,64,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02209,70,Statement.executeUpdate Scary7 Normal confidence
BenchmarkTest02210,62,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02211,75,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02212,56,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02213,56,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02214,60,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02215,56,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02216,62,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02217,62,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02218,62,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02219,75,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02220,59,Statement.executeUpdate Scary5 High confidence
BenchmarkTest02733,64,Connection.prepareCall Scary5 High confidence
BenchmarkTest02734,57,Connection.prepareCall Scary5 High confidence
BenchmarkTest02735,60,Connection.prepareCall Scary5 High confidence
BenchmarkTest02736,64,Connection.prepareCall Scary5 High confidence
BenchmarkTest02737,70,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02738,75,Connection.prepareCall Scary5 High confidence
BenchmarkTest02739,56,Connection.prepareCall Scary5 High confidence
BenchmarkTest02740,57,Connection.prepareCall Scary5 High confidence
BenchmarkTest02741,75,Connection.prepareCall Scary5 High confidence
BenchmarkTest02742,64,Connection.prepareCall Scary5 High confidence
BenchmarkTest02743,56,Connection.prepareCall Scary5 High confidence
BenchmarkTest02744,69,Connection.prepareCall Scary7 Normal confidence
BenchmarkTest02745,62,Connection.prepareCall Scary5 High confidence
BenchmarkTest02746,75,Connection.prepareCall Scary5 High confidence
BenchmarkTest02747,56,Connection.prepareCall Scary5 High confidence
BenchmarkTest02748,56,Connection.prepareCall Scary5 High confidence
BenchmarkTest02749,60,Connection.prepareCall Scary5 High confidence
BenchmarkTest02750,75,Connection.prepareCall Scary5 High confidence
BenchmarkTest02751,64,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02752,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02753,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02754,61,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02755,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02756,64,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02757,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02758,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02759,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02760,59,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02761,69,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02762,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02763,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02764,75,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02765,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02766,64,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02767,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02768,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02769,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02770,59,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02771,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02772,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02773,61,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02774,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02775,64,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02776,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02777,70,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02778,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02779,75,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02780,64,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02781,61,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02782,57,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02783,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02784,70,Connection.prepareStatement Scary7 Normal confidence
BenchmarkTest02785,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02786,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02787,56,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02788,61,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02789,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02790,62,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02791,75,Connection.prepareStatement Scary5 High confidence
BenchmarkTest02792,56,Connection.prepareStatement Scary5 High confidence
